,Sampling p(meas = 1),# wrong decisions p0.0005,# wrong decisions p0.001,# wrong decisions p0.006
circuit345.qasm,0.6888404130879198,37.0,47.0,61.0
circuit526.qasm,0.07322330470336391,19.0,27.0,42.0
circuit340.qasm,0.31250000000000044,31.0,43.0,54.0
circuit326.qasm,0.34958555994371154,41.0,46.0,53.0
circuit703.qasm,0.827665042944955,28.0,34.0,40.0
circuit425.qasm,0.25000000000000044,32.0,30.0,50.0
circuit126.qasm,0.6993813693763383,32.0,30.0,52.0
circuit772.qasm,0.1464466094067267,15.0,31.0,44.0
circuit454.qasm,0.9305679560328751,13.0,18.0,41.0
circuit393.qasm,0.7461413801125765,37.0,32.0,44.0
circuit529.qasm,0.6584708691207957,43.0,39.0,43.0
circuit733.qasm,0.12500000000000056,19.0,25.0,46.0
circuit134.qasm,0.28488952738362483,45.0,40.0,48.0
circuit181.qasm,0.8535533905932733,23.0,30.0,54.0
circuit483.qasm,0.27458161413599064,36.0,39.0,52.0
circuit985.qasm,0.7651650429449547,26.0,29.0,51.0
circuit944.qasm,0.3400211661552938,38.0,46.0,53.0
circuit998.qasm,0.3719265759202986,35.0,57.0,40.0
circuit287.qasm,0.7156765759202981,39.0,48.0,54.0
circuit148.qasm,0.20312500000000072,29.0,33.0,42.0
circuit119.qasm,0.2919733047033635,36.0,41.0,45.0
circuit510.qasm,0.31138956543960217,38.0,42.0,44.0
circuit224.qasm,0.294424152351682,42.0,36.0,51.0
circuit608.qasm,0.3803616523516819,39.0,39.0,51.0
circuit009.qasm,0.1982233047033637,34.0,31.0,48.0
circuit971.qasm,0.25000000000000067,27.0,40.0,49.0
circuit890.qasm,0.7842560649285166,24.0,32.0,38.0
circuit306.qasm,0.6375515759202983,47.0,48.0,39.0
circuit726.qasm,0.3346307664876721,41.0,45.0,54.0
circuit697.qasm,0.3232233047033636,44.0,40.0,61.0
circuit741.qasm,0.15291869631880656,22.0,18.0,47.0
circuit155.qasm,0.6182099487954539,41.0,45.0,50.0
circuit601.qasm,0.7133883476483176,34.0,43.0,50.0
circuit004.qasm,0.6767766952966366,36.0,38.0,45.0
circuit640.qasm,0.6271216981404102,35.0,45.0,53.0
circuit869.qasm,0.6767766952966365,29.0,35.0,45.0
circuit321.qasm,0.6194757282719799,45.0,43.0,52.0
