,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,43,14,0.34492779371158216,0,0
circuit001.qasm,53,18,0.6131662607362388,1,1
circuit003.qasm,55,22,0.7499999999999994,1,1
circuit004.qasm,57,20,0.6767766952966366,1,1
circuit006.qasm,60,19,0.9176237822087159,1,1
circuit009.qasm,43,8,0.1982233047033637,0,0
circuit011.qasm,53,17,0.6249999999999999,1,1
circuit017.qasm,40,12,0.17233495705504537,0,0
circuit018.qasm,53,22,0.35747936963188054,0,1
circuit022.qasm,44,10,0.32322330470336336,0,0
circuit026.qasm,37,20,0.190640783230886,0,0
circuit030.qasm,33,18,0.25000000000000044,0,0
circuit037.qasm,52,23,0.28661165235168196,0,1
circuit038.qasm,39,12,0.3943831319696847,0,0
circuit039.qasm,40,17,0.3071383476483189,0,0
circuit044.qasm,44,23,0.3996152937115823,0,0
circuit045.qasm,42,18,0.15280370705504515,0,0
circuit049.qasm,41,15,0.3383883476483188,0,0
circuit050.qasm,49,21,0.3857233047033629,0,0
circuit055.qasm,48,13,0.36741747852752255,0,0
circuit056.qasm,51,18,0.6379441738241589,1,1
circuit059.qasm,56,15,0.7499999999999996,1,1
circuit060.qasm,44,17,0.3416917502555425,0,0
circuit064.qasm,55,21,0.38281250000000017,0,1
circuit067.qasm,51,17,0.6010072827198008,1,1
circuit070.qasm,53,20,0.6075050033032217,1,1
circuit071.qasm,42,13,0.33126578323088574,0,0
circuit072.qasm,42,9,0.3750000000000003,0,0
circuit073.qasm,51,17,0.3232233047033634,0,1
circuit075.qasm,43,16,0.12500000000000078,0,0
circuit077.qasm,50,10,0.32322330470336325,0,0
circuit078.qasm,62,17,0.8383883476483178,1,1
circuit080.qasm,51,14,0.7354854345603978,1,1
circuit082.qasm,57,16,0.6006146848159402,1,1
circuit083.qasm,32,21,0.12500000000000078,0,0
circuit088.qasm,48,20,0.620053739104047,1,0
circuit089.qasm,54,21,0.6249999999999998,1,1
circuit093.qasm,45,23,0.33214623926376163,0,0
circuit094.qasm,50,25,0.38415291308792077,0,0
circuit095.qasm,54,18,0.669194173824159,1,1
circuit097.qasm,53,18,0.375,0,1
circuit098.qasm,58,15,0.6369963586400991,1,1
circuit099.qasm,38,18,0.2866116523516816,0,0
circuit101.qasm,60,13,0.8276650429449548,1,1
circuit103.qasm,36,17,0.2683058261758413,0,0
circuit105.qasm,53,14,0.6186092227760895,1,1
circuit111.qasm,54,14,0.3102791308792041,0,1
circuit114.qasm,64,20,0.7499999999999997,1,1
circuit119.qasm,51,20,0.2919733047033635,0,1
circuit121.qasm,43,16,0.3887293696318808,0,0
circuit122.qasm,50,23,0.6421280324642584,1,0
circuit123.qasm,46,15,0.6319291547163131,1,0
circuit125.qasm,33,18,0.1418701528627665,0,0
circuit127.qasm,45,18,0.3630001537256544,0,0
circuit132.qasm,53,17,0.7042354345603976,1,1
circuit133.qasm,61,19,0.9095673531442079,1,1
circuit134.qasm,45,17,0.28488952738362483,0,0
circuit135.qasm,39,23,0.3705385327198012,0,0
circuit136.qasm,54,15,0.713388347648318,1,1
circuit137.qasm,41,22,0.24463834764831893,0,0
circuit145.qasm,45,25,0.6249999999999997,1,0
circuit147.qasm,61,16,0.908470869120795,1,1
circuit148.qasm,40,16,0.20312500000000072,0,0
circuit150.qasm,48,16,0.6142766952966366,1,0
circuit151.qasm,57,7,0.9267766952966365,1,1
circuit152.qasm,52,12,0.7392766952966366,1,1
circuit154.qasm,57,15,0.6950825214724776,1,1
circuit155.qasm,46,14,0.6182099487954539,1,0
circuit161.qasm,50,19,0.658293365334277,1,0
circuit164.qasm,55,16,0.9374999999999993,1,1
circuit165.qasm,45,20,0.6169575214724774,1,0
circuit166.qasm,35,14,0.2645145654396024,0,0
circuit172.qasm,49,12,0.6691941738241587,1,0
circuit173.qasm,57,16,0.28661165235168196,0,1
circuit174.qasm,67,18,0.9267766952966361,1,1
circuit178.qasm,45,17,0.3167512177912839,0,0
circuit180.qasm,61,12,0.6127736628323779,1,1
circuit181.qasm,61,19,0.8535533905932733,1,1
circuit182.qasm,51,18,0.6066941738241588,1,1
circuit186.qasm,38,25,0.2591529130879206,0,0
circuit191.qasm,49,18,0.6874999999999998,1,0
circuit197.qasm,69,22,0.7180222988241589,1,1
circuit200.qasm,57,23,0.6639236956799499,1,1
circuit201.qasm,64,18,0.7271177172801987,1,1
circuit202.qasm,47,17,0.2995558261758411,0,0
circuit210.qasm,54,12,0.6483225107362383,1,1
circuit212.qasm,55,19,0.7163492924096972,1,1
circuit214.qasm,52,22,0.3986674785275226,0,1
circuit215.qasm,56,23,0.853553390593273,1,1
circuit216.qasm,55,18,0.8535533905932731,1,1
circuit224.qasm,45,17,0.294424152351682,0,0
circuit231.qasm,46,15,0.39330582617584103,0,0
circuit232.qasm,44,25,0.3777621358640101,0,0
circuit234.qasm,53,18,0.6727891356084676,1,1
circuit237.qasm,51,16,0.7567496955521787,1,1
circuit240.qasm,43,17,0.3719602554958907,0,0
circuit241.qasm,39,12,0.1288684844067267,0,0
circuit242.qasm,56,21,0.7196978151840594,1,1
circuit243.qasm,54,20,0.6249999999999997,1,1
circuit244.qasm,52,22,0.24777913087920445,0,1
