,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,54,27,0.34492779371158216,0,1
circuit001.qasm,47,31,0.6131662607362388,1,0
circuit003.qasm,52,31,0.7499999999999994,1,1
circuit004.qasm,52,23,0.6767766952966366,1,1
circuit006.qasm,52,29,0.9176237822087159,1,1
circuit009.qasm,57,32,0.1982233047033637,0,1
circuit011.qasm,46,29,0.6249999999999999,1,0
circuit017.qasm,57,18,0.17233495705504537,0,1
circuit018.qasm,59,24,0.35747936963188054,0,1
circuit022.qasm,48,25,0.32322330470336336,0,0
circuit026.qasm,44,30,0.190640783230886,0,0
circuit030.qasm,57,27,0.25000000000000044,0,1
circuit037.qasm,49,26,0.28661165235168196,0,0
circuit038.qasm,54,31,0.3943831319696847,0,1
circuit039.qasm,43,25,0.3071383476483189,0,0
circuit044.qasm,53,22,0.3996152937115823,0,1
circuit045.qasm,67,19,0.15280370705504515,0,1
circuit049.qasm,48,27,0.3383883476483188,0,0
circuit050.qasm,52,26,0.3857233047033629,0,1
circuit055.qasm,53,25,0.36741747852752255,0,1
circuit056.qasm,45,32,0.6379441738241589,1,0
circuit059.qasm,51,23,0.7499999999999996,1,1
circuit060.qasm,52,35,0.3416917502555425,0,1
circuit064.qasm,50,24,0.38281250000000017,0,0
circuit067.qasm,48,28,0.6010072827198008,1,0
circuit070.qasm,54,25,0.6075050033032217,1,1
circuit071.qasm,50,28,0.33126578323088574,0,0
circuit072.qasm,57,26,0.3750000000000003,0,1
circuit073.qasm,50,20,0.3232233047033634,0,0
circuit075.qasm,60,27,0.12500000000000078,0,1
circuit077.qasm,50,31,0.32322330470336325,0,0
circuit078.qasm,47,31,0.8383883476483178,1,0
circuit080.qasm,53,29,0.7354854345603978,1,1
circuit082.qasm,55,25,0.6006146848159402,1,1
circuit083.qasm,64,29,0.12500000000000078,0,1
circuit088.qasm,52,32,0.620053739104047,1,1
circuit089.qasm,44,26,0.6249999999999998,1,0
circuit093.qasm,57,34,0.33214623926376163,0,1
circuit094.qasm,58,34,0.38415291308792077,0,1
circuit095.qasm,48,27,0.669194173824159,1,0
circuit097.qasm,66,28,0.375,0,1
circuit098.qasm,50,31,0.6369963586400991,1,0
circuit099.qasm,57,33,0.2866116523516816,0,1
circuit101.qasm,50,30,0.8276650429449548,1,0
circuit103.qasm,48,26,0.2683058261758413,0,0
circuit105.qasm,46,34,0.6186092227760895,1,0
circuit111.qasm,54,24,0.3102791308792041,0,1
circuit114.qasm,44,26,0.7499999999999997,1,0
circuit119.qasm,60,30,0.2919733047033635,0,1
circuit121.qasm,50,27,0.3887293696318808,0,0
circuit122.qasm,52,32,0.6421280324642584,1,1
circuit123.qasm,52,23,0.6319291547163131,1,1
circuit125.qasm,58,31,0.1418701528627665,0,1
circuit127.qasm,45,33,0.3630001537256544,0,0
circuit132.qasm,47,26,0.7042354345603976,1,0
circuit133.qasm,51,23,0.9095673531442079,1,1
circuit134.qasm,49,30,0.28488952738362483,0,0
circuit135.qasm,51,36,0.3705385327198012,0,1
circuit136.qasm,47,32,0.713388347648318,1,0
circuit137.qasm,48,25,0.24463834764831893,0,0
circuit145.qasm,50,30,0.6249999999999997,1,0
circuit147.qasm,40,28,0.908470869120795,1,0
circuit148.qasm,51,25,0.20312500000000072,0,1
circuit150.qasm,53,35,0.6142766952966366,1,1
circuit151.qasm,48,33,0.9267766952966365,1,0
circuit152.qasm,50,28,0.7392766952966366,1,0
circuit154.qasm,48,27,0.6950825214724776,1,0
circuit155.qasm,52,27,0.6182099487954539,1,1
circuit161.qasm,47,33,0.658293365334277,1,0
circuit164.qasm,46,32,0.9374999999999993,1,0
circuit165.qasm,47,35,0.6169575214724774,1,0
circuit166.qasm,58,25,0.2645145654396024,0,1
circuit172.qasm,45,21,0.6691941738241587,1,0
circuit173.qasm,50,34,0.28661165235168196,0,0
circuit174.qasm,53,31,0.9267766952966361,1,1
circuit178.qasm,56,22,0.3167512177912839,0,1
circuit180.qasm,41,24,0.6127736628323779,1,0
circuit181.qasm,43,27,0.8535533905932733,1,0
circuit182.qasm,48,24,0.6066941738241588,1,0
circuit186.qasm,56,26,0.2591529130879206,0,1
circuit191.qasm,46,31,0.6874999999999998,1,0
circuit197.qasm,50,39,0.7180222988241589,1,0
circuit200.qasm,37,19,0.6639236956799499,1,0
circuit201.qasm,43,35,0.7271177172801987,1,0
circuit202.qasm,55,22,0.2995558261758411,0,1
circuit210.qasm,45,27,0.6483225107362383,1,0
circuit212.qasm,54,34,0.7163492924096972,1,1
circuit214.qasm,53,27,0.3986674785275226,0,1
circuit215.qasm,50,29,0.853553390593273,1,0
circuit216.qasm,42,20,0.8535533905932731,1,0
circuit224.qasm,43,34,0.294424152351682,0,0
circuit231.qasm,48,27,0.39330582617584103,0,0
circuit232.qasm,49,19,0.3777621358640101,0,0
circuit234.qasm,52,26,0.6727891356084676,1,1
circuit237.qasm,51,23,0.7567496955521787,1,1
circuit240.qasm,53,35,0.3719602554958907,0,1
circuit241.qasm,52,29,0.1288684844067267,0,1
circuit242.qasm,48,28,0.7196978151840594,1,0
circuit243.qasm,45,25,0.6249999999999997,1,0
circuit244.qasm,59,26,0.24777913087920445,0,1
