,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,81,48,0.9999999999999993,1,1
circuit842.qasm,24,45,0.14644660940672666,0,0
circuit146.qasm,17,46,6.106226635438361e-16,0,0
circuit704.qasm,33,49,0.25000000000000044,0,0
circuit984.qasm,20,48,0.14644660940672666,0,0
circuit426.qasm,75,51,0.8535533905932733,1,1
circuit190.qasm,13,47,5.551115123125783e-16,0,0
circuit871.qasm,14,55,6.661338147750939e-16,0,0
circuit188.qasm,15,39,0.1464466094067267,0,0
circuit750.qasm,15,49,2.220446049250313e-16,0,0
circuit328.qasm,80,48,0.8535533905932731,1,1
circuit275.qasm,31,49,0.2500000000000004,0,0
circuit309.qasm,32,56,0.25000000000000033,0,0
circuit513.qasm,26,44,0.2500000000000001,0,0
circuit969.qasm,15,43,2.220446049250313e-16,0,0
circuit583.qasm,68,45,0.7866116523516816,1,1
circuit483.qasm,76,51,0.8535533905932733,1,1
circuit326.qasm,72,46,0.8535533905932732,1,1
circuit319.qasm,12,48,6.106226635438361e-16,0,0
circuit278.qasm,65,47,0.6767766952966366,1,1
circuit706.qasm,22,50,7.771561172376096e-16,0,0
circuit558.qasm,74,42,0.8535533905932733,1,1
circuit358.qasm,69,51,0.8535533905932735,1,1
circuit394.qasm,20,47,2.220446049250313e-16,0,0
circuit682.qasm,84,48,0.9267766952966363,1,1
circuit035.qasm,15,41,2.220446049250313e-16,0,0
circuit503.qasm,40,48,0.2500000000000005,0,0
circuit812.qasm,30,43,0.14644660940672682,0,0
circuit934.qasm,14,42,0.02144660940672699,0,0
circuit660.qasm,12,44,7.771561172376096e-16,0,0
circuit211.qasm,69,49,0.8535533905932731,1,1
circuit540.qasm,24,48,8.326672684688674e-16,0,0
circuit359.qasm,28,36,0.14644660940672688,0,0
circuit001.qasm,72,48,0.8535533905932733,1,1
circuit115.qasm,71,43,0.8535533905932733,1,1
circuit519.qasm,59,50,0.6767766952966365,1,1
circuit978.qasm,63,55,0.7499999999999998,1,1
circuit385.qasm,68,48,0.8535533905932734,1,1
circuit782.qasm,18,40,6.661338147750939e-16,0,0
circuit822.qasm,19,49,0.14644660940672682,0,0
circuit121.qasm,64,48,0.7499999999999994,1,1
circuit091.qasm,36,44,0.3636262177912838,0,0
circuit131.qasm,86,48,0.9267766952966363,1,1
circuit062.qasm,47,42,0.375,0,0
circuit290.qasm,49,51,0.14644660940672655,0,0
circuit644.qasm,11,48,4.996003610813204e-16,0,0
circuit293.qasm,15,43,6.661338147750939e-16,0,0
circuit584.qasm,69,44,0.7499999999999999,1,1
circuit593.qasm,25,48,8.326672684688674e-16,0,0
circuit863.qasm,14,48,8.881784197001252e-16,0,0
circuit602.qasm,79,47,0.9999999999999991,1,1
circuit261.qasm,17,51,8.326672684688674e-16,0,0
circuit791.qasm,11,46,5.551115123125783e-16,0,0
circuit210.qasm,85,48,0.8535533905932731,1,1
circuit366.qasm,18,50,3.3306690738754696e-16,0,0
circuit436.qasm,81,57,0.9267766952966365,1,1
circuit000.qasm,32,55,0.32322330470336336,0,0
circuit813.qasm,75,42,0.8535533905932733,1,1
circuit604.qasm,62,39,0.8535533905932731,1,1
circuit997.qasm,58,42,0.713388347648318,1,1
circuit723.qasm,15,51,7.771561172376096e-16,0,0
circuit393.qasm,13,52,7.771561172376096e-16,0,0
circuit585.qasm,82,44,0.8535533905932732,1,1
circuit856.qasm,69,39,0.8535533905932732,1,1
circuit151.qasm,62,52,0.7499999999999996,1,1
circuit458.qasm,88,43,0.9999999999999996,1,1
circuit083.qasm,72,46,0.8535533905932733,1,1
circuit336.qasm,68,52,0.8017766952966364,1,1
circuit465.qasm,77,42,0.8535533905932733,1,1
circuit347.qasm,57,48,0.6767766952966365,1,1
circuit258.qasm,82,48,0.8901650429449548,1,1
circuit379.qasm,17,40,6.661338147750939e-16,0,0
circuit339.qasm,65,46,0.8535533905932733,1,1
circuit150.qasm,12,50,7.216449660063518e-16,0,0
circuit972.qasm,10,44,7.216449660063518e-16,0,0
circuit677.qasm,28,46,0.25000000000000056,0,0
circuit340.qasm,12,47,4.440892098500626e-16,0,0
circuit781.qasm,30,55,0.21338834764831882,0,0
circuit372.qasm,23,52,0.25000000000000033,0,0
circuit269.qasm,19,43,6.661338147750939e-16,0,0
circuit018.qasm,51,48,0.6767766952966368,1,1
circuit136.qasm,62,48,0.9267766952966363,1,1
circuit695.qasm,23,45,0.07322330470336352,0,0
circuit116.qasm,28,47,0.14644660940672666,0,0
circuit287.qasm,79,51,0.8535533905932732,1,1
circuit110.qasm,60,39,0.7499999999999996,1,1
circuit912.qasm,18,44,8.326672684688674e-16,0,0
circuit109.qasm,62,43,0.8535533905932733,1,1
circuit494.qasm,64,44,0.8535533905932733,1,1
circuit325.qasm,10,53,5.551115123125783e-16,0,0
circuit111.qasm,46,52,0.32322330470336336,0,0
circuit382.qasm,86,46,0.9999999999999993,1,1
circuit402.qasm,67,51,0.7499999999999996,1,1
circuit933.qasm,27,45,0.25000000000000067,0,0
circuit672.qasm,21,50,0.14644660940672688,0,0
circuit386.qasm,56,46,0.6767766952966368,1,1
circuit903.qasm,15,51,2.220446049250313e-16,0,0
circuit759.qasm,38,61,0.14644660940672682,0,0
circuit081.qasm,75,53,0.8535533905932733,1,1
circuit939.qasm,25,49,0.1464466094067267,0,0
