,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,91,25,0.9999999999999993,1,1
circuit842.qasm,28,30,0.14644660940672666,0,0
circuit146.qasm,9,23,6.106226635438361e-16,0,0
circuit704.qasm,38,25,0.25000000000000044,0,0
circuit984.qasm,23,28,0.14644660940672666,0,0
circuit426.qasm,83,25,0.8535533905932733,1,1
circuit190.qasm,7,32,5.551115123125783e-16,0,0
circuit871.qasm,5,26,6.661338147750939e-16,0,0
circuit188.qasm,19,31,0.1464466094067267,0,0
circuit750.qasm,8,21,2.220446049250313e-16,0,0
circuit328.qasm,76,30,0.8535533905932731,1,1
circuit275.qasm,21,22,0.2500000000000004,0,0
circuit309.qasm,24,18,0.25000000000000033,0,0
circuit513.qasm,28,17,0.2500000000000001,0,0
circuit969.qasm,8,23,2.220446049250313e-16,0,0
circuit583.qasm,67,22,0.7866116523516816,1,1
circuit483.qasm,80,23,0.8535533905932733,1,1
circuit326.qasm,85,24,0.8535533905932732,1,1
circuit319.qasm,8,24,6.106226635438361e-16,0,0
circuit278.qasm,57,32,0.6767766952966366,1,1
circuit706.qasm,9,23,7.771561172376096e-16,0,0
circuit558.qasm,87,26,0.8535533905932733,1,1
circuit358.qasm,83,23,0.8535533905932735,1,1
circuit394.qasm,7,29,2.220446049250313e-16,0,0
circuit682.qasm,87,24,0.9267766952966363,1,1
circuit035.qasm,10,27,2.220446049250313e-16,0,0
circuit503.qasm,30,28,0.2500000000000005,0,0
circuit812.qasm,17,22,0.14644660940672682,0,0
circuit934.qasm,13,19,0.02144660940672699,0,0
circuit660.qasm,9,29,7.771561172376096e-16,0,0
circuit211.qasm,80,26,0.8535533905932731,1,1
circuit540.qasm,12,33,8.326672684688674e-16,0,0
circuit359.qasm,23,20,0.14644660940672688,0,0
circuit001.qasm,81,31,0.8535533905932733,1,1
circuit115.qasm,70,34,0.8535533905932733,1,1
circuit519.qasm,73,28,0.6767766952966365,1,1
circuit978.qasm,74,23,0.7499999999999998,1,1
circuit385.qasm,72,18,0.8535533905932734,1,1
circuit782.qasm,15,29,6.661338147750939e-16,0,0
circuit822.qasm,24,22,0.14644660940672682,0,0
circuit121.qasm,75,27,0.7499999999999994,1,1
circuit091.qasm,40,33,0.3636262177912838,0,0
circuit131.qasm,85,20,0.9267766952966363,1,1
circuit062.qasm,41,31,0.375,0,0
circuit290.qasm,24,39,0.14644660940672655,0,0
circuit644.qasm,9,25,4.996003610813204e-16,0,0
circuit293.qasm,5,30,6.661338147750939e-16,0,0
circuit584.qasm,72,25,0.7499999999999999,1,1
circuit593.qasm,8,30,8.326672684688674e-16,0,0
circuit863.qasm,1,25,8.881784197001252e-16,0,0
circuit602.qasm,88,31,0.9999999999999991,1,1
circuit261.qasm,8,25,8.326672684688674e-16,0,0
circuit791.qasm,5,22,5.551115123125783e-16,0,0
circuit210.qasm,83,28,0.8535533905932731,1,1
circuit366.qasm,11,33,3.3306690738754696e-16,0,0
circuit436.qasm,87,29,0.9267766952966365,1,1
circuit000.qasm,36,18,0.32322330470336336,0,0
circuit813.qasm,81,29,0.8535533905932733,1,1
circuit604.qasm,77,21,0.8535533905932731,1,1
circuit997.qasm,65,33,0.713388347648318,1,1
circuit723.qasm,5,24,7.771561172376096e-16,0,0
circuit393.qasm,11,27,7.771561172376096e-16,0,0
circuit585.qasm,82,26,0.8535533905932732,1,1
circuit856.qasm,85,30,0.8535533905932732,1,1
circuit151.qasm,65,23,0.7499999999999996,1,1
circuit458.qasm,86,25,0.9999999999999996,1,1
circuit083.qasm,83,25,0.8535533905932733,1,1
circuit336.qasm,74,29,0.8017766952966364,1,1
circuit465.qasm,78,24,0.8535533905932733,1,1
circuit347.qasm,56,26,0.6767766952966365,1,1
circuit258.qasm,83,25,0.8901650429449548,1,1
circuit379.qasm,5,27,6.661338147750939e-16,0,0
circuit339.qasm,79,23,0.8535533905932733,1,1
circuit150.qasm,6,27,7.216449660063518e-16,0,0
circuit972.qasm,8,31,7.216449660063518e-16,0,0
circuit677.qasm,32,24,0.25000000000000056,0,0
circuit340.qasm,9,26,4.440892098500626e-16,0,0
circuit781.qasm,21,28,0.21338834764831882,0,0
circuit372.qasm,30,31,0.25000000000000033,0,0
circuit269.qasm,13,30,6.661338147750939e-16,0,0
circuit018.qasm,59,26,0.6767766952966368,1,1
circuit136.qasm,80,29,0.9267766952966363,1,1
circuit695.qasm,15,24,0.07322330470336352,0,0
circuit116.qasm,22,36,0.14644660940672666,0,0
circuit287.qasm,86,24,0.8535533905932732,1,1
circuit110.qasm,67,26,0.7499999999999996,1,1
circuit912.qasm,10,22,8.326672684688674e-16,0,0
circuit109.qasm,76,28,0.8535533905932733,1,1
circuit494.qasm,75,22,0.8535533905932733,1,1
circuit325.qasm,7,21,5.551115123125783e-16,0,0
circuit111.qasm,44,31,0.32322330470336336,0,0
circuit382.qasm,94,23,0.9999999999999993,1,1
circuit402.qasm,74,30,0.7499999999999996,1,1
circuit933.qasm,34,28,0.25000000000000067,0,0
circuit672.qasm,18,24,0.14644660940672688,0,0
circuit386.qasm,49,26,0.6767766952966368,1,0
circuit903.qasm,5,28,2.220446049250313e-16,0,0
circuit759.qasm,15,24,0.14644660940672682,0,0
circuit081.qasm,83,20,0.8535533905932733,1,1
circuit939.qasm,15,28,0.1464466094067267,0,0
