,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,72,68,0.9999999999999993,1,1
circuit842.qasm,26,66,0.14644660940672666,0,0
circuit146.qasm,23,72,6.106226635438361e-16,0,0
circuit704.qasm,39,61,0.25000000000000044,0,0
circuit984.qasm,24,71,0.14644660940672666,0,0
circuit426.qasm,71,66,0.8535533905932733,1,1
circuit190.qasm,18,65,5.551115123125783e-16,0,0
circuit871.qasm,21,71,6.661338147750939e-16,0,0
circuit188.qasm,32,68,0.1464466094067267,0,0
circuit750.qasm,15,73,2.220446049250313e-16,0,0
circuit328.qasm,74,71,0.8535533905932731,1,1
circuit275.qasm,25,68,0.2500000000000004,0,0
circuit309.qasm,31,69,0.25000000000000033,0,0
circuit513.qasm,32,73,0.2500000000000001,0,0
circuit969.qasm,16,65,2.220446049250313e-16,0,0
circuit583.qasm,65,66,0.7866116523516816,1,1
circuit483.qasm,70,72,0.8535533905932733,1,1
circuit326.qasm,64,65,0.8535533905932732,1,1
circuit319.qasm,19,72,6.106226635438361e-16,0,0
circuit278.qasm,60,65,0.6767766952966366,1,1
circuit706.qasm,27,70,7.771561172376096e-16,0,0
circuit558.qasm,59,74,0.8535533905932733,1,1
circuit358.qasm,73,61,0.8535533905932735,1,1
circuit394.qasm,34,69,2.220446049250313e-16,0,0
circuit682.qasm,74,66,0.9267766952966363,1,1
circuit035.qasm,25,66,2.220446049250313e-16,0,0
circuit503.qasm,39,73,0.2500000000000005,0,0
circuit812.qasm,28,73,0.14644660940672682,0,0
circuit934.qasm,18,61,0.02144660940672699,0,0
circuit660.qasm,19,66,7.771561172376096e-16,0,0
circuit211.qasm,68,77,0.8535533905932731,1,1
circuit540.qasm,34,60,8.326672684688674e-16,0,0
circuit359.qasm,32,69,0.14644660940672688,0,0
circuit001.qasm,70,68,0.8535533905932733,1,1
circuit115.qasm,62,67,0.8535533905932733,1,1
circuit519.qasm,53,67,0.6767766952966365,1,1
circuit978.qasm,49,64,0.7499999999999998,1,0
circuit385.qasm,61,66,0.8535533905932734,1,1
circuit782.qasm,35,64,6.661338147750939e-16,0,0
circuit822.qasm,38,66,0.14644660940672682,0,0
circuit121.qasm,56,73,0.7499999999999994,1,1
circuit091.qasm,53,71,0.3636262177912838,0,1
circuit131.qasm,75,67,0.9267766952966363,1,1
circuit062.qasm,34,62,0.375,0,0
circuit290.qasm,41,60,0.14644660940672655,0,0
circuit644.qasm,19,61,4.996003610813204e-16,0,0
circuit293.qasm,20,66,6.661338147750939e-16,0,0
circuit584.qasm,70,67,0.7499999999999999,1,1
circuit593.qasm,35,70,8.326672684688674e-16,0,0
circuit863.qasm,23,69,8.881784197001252e-16,0,0
circuit602.qasm,77,65,0.9999999999999991,1,1
circuit261.qasm,25,71,8.326672684688674e-16,0,0
circuit791.qasm,22,69,5.551115123125783e-16,0,0
circuit210.qasm,65,60,0.8535533905932731,1,1
circuit366.qasm,36,70,3.3306690738754696e-16,0,0
circuit436.qasm,86,71,0.9267766952966365,1,1
circuit000.qasm,47,61,0.32322330470336336,0,0
circuit813.qasm,74,60,0.8535533905932733,1,1
circuit604.qasm,66,66,0.8535533905932731,1,1
circuit997.qasm,54,75,0.713388347648318,1,1
circuit723.qasm,19,68,7.771561172376096e-16,0,0
circuit393.qasm,33,76,7.771561172376096e-16,0,0
circuit585.qasm,71,76,0.8535533905932732,1,1
circuit856.qasm,59,71,0.8535533905932732,1,1
circuit151.qasm,66,63,0.7499999999999996,1,1
circuit458.qasm,74,67,0.9999999999999996,1,1
circuit083.qasm,71,69,0.8535533905932733,1,1
circuit336.qasm,60,68,0.8017766952966364,1,1
circuit465.qasm,69,73,0.8535533905932733,1,1
circuit347.qasm,63,73,0.6767766952966365,1,1
circuit258.qasm,76,69,0.8901650429449548,1,1
circuit379.qasm,18,63,6.661338147750939e-16,0,0
circuit339.qasm,67,69,0.8535533905932733,1,1
circuit150.qasm,17,66,7.216449660063518e-16,0,0
circuit972.qasm,22,68,7.216449660063518e-16,0,0
circuit677.qasm,35,58,0.25000000000000056,0,0
circuit340.qasm,18,73,4.440892098500626e-16,0,0
circuit781.qasm,40,62,0.21338834764831882,0,0
circuit372.qasm,39,60,0.25000000000000033,0,0
circuit269.qasm,15,64,6.661338147750939e-16,0,0
circuit018.qasm,51,67,0.6767766952966368,1,1
circuit136.qasm,58,51,0.9267766952966363,1,1
circuit695.qasm,28,69,0.07322330470336352,0,0
circuit116.qasm,24,69,0.14644660940672666,0,0
circuit287.qasm,71,59,0.8535533905932732,1,1
circuit110.qasm,49,65,0.7499999999999996,1,0
circuit912.qasm,19,77,8.326672684688674e-16,0,0
circuit109.qasm,65,71,0.8535533905932733,1,1
circuit494.qasm,65,67,0.8535533905932733,1,1
circuit325.qasm,22,70,5.551115123125783e-16,0,0
circuit111.qasm,50,71,0.32322330470336336,0,0
circuit382.qasm,83,70,0.9999999999999993,1,1
circuit402.qasm,53,67,0.7499999999999996,1,1
circuit933.qasm,40,76,0.25000000000000067,0,0
circuit672.qasm,28,67,0.14644660940672688,0,0
circuit386.qasm,58,63,0.6767766952966368,1,1
circuit903.qasm,15,72,2.220446049250313e-16,0,0
circuit759.qasm,36,67,0.14644660940672682,0,0
circuit081.qasm,70,71,0.8535533905932733,1,1
circuit939.qasm,18,69,0.1464466094067267,0,0
