,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,87,33,0.9999999999999993,1,1
circuit842.qasm,16,30,0.14644660940672666,0,0
circuit146.qasm,9,34,6.106226635438361e-16,0,0
circuit704.qasm,35,31,0.25000000000000044,0,0
circuit984.qasm,22,36,0.14644660940672666,0,0
circuit426.qasm,81,38,0.8535533905932733,1,1
circuit190.qasm,7,35,5.551115123125783e-16,0,0
circuit871.qasm,8,38,6.661338147750939e-16,0,0
circuit188.qasm,23,25,0.1464466094067267,0,0
circuit750.qasm,11,38,2.220446049250313e-16,0,0
circuit328.qasm,77,43,0.8535533905932731,1,1
circuit275.qasm,30,35,0.2500000000000004,0,0
circuit309.qasm,32,31,0.25000000000000033,0,0
circuit513.qasm,26,28,0.2500000000000001,0,0
circuit969.qasm,5,36,2.220446049250313e-16,0,0
circuit583.qasm,73,25,0.7866116523516816,1,1
circuit483.qasm,68,31,0.8535533905932733,1,1
circuit326.qasm,78,34,0.8535533905932732,1,1
circuit319.qasm,11,32,6.106226635438361e-16,0,0
circuit278.qasm,55,38,0.6767766952966366,1,1
circuit706.qasm,20,42,7.771561172376096e-16,0,0
circuit558.qasm,69,29,0.8535533905932733,1,1
circuit358.qasm,82,33,0.8535533905932735,1,1
circuit394.qasm,9,35,2.220446049250313e-16,0,0
circuit682.qasm,85,38,0.9267766952966363,1,1
circuit035.qasm,10,42,2.220446049250313e-16,0,0
circuit503.qasm,29,38,0.2500000000000005,0,0
circuit812.qasm,30,42,0.14644660940672682,0,0
circuit934.qasm,8,38,0.02144660940672699,0,0
circuit660.qasm,12,40,7.771561172376096e-16,0,0
circuit211.qasm,80,29,0.8535533905932731,1,1
circuit540.qasm,19,36,8.326672684688674e-16,0,0
circuit359.qasm,23,38,0.14644660940672688,0,0
circuit001.qasm,76,35,0.8535533905932733,1,1
circuit115.qasm,64,40,0.8535533905932733,1,1
circuit519.qasm,60,29,0.6767766952966365,1,1
circuit978.qasm,58,37,0.7499999999999998,1,1
circuit385.qasm,71,29,0.8535533905932734,1,1
circuit782.qasm,21,27,6.661338147750939e-16,0,0
circuit822.qasm,22,40,0.14644660940672682,0,0
circuit121.qasm,67,31,0.7499999999999994,1,1
circuit091.qasm,40,30,0.3636262177912838,0,0
circuit131.qasm,88,33,0.9267766952966363,1,1
circuit062.qasm,40,36,0.375,0,0
circuit290.qasm,33,28,0.14644660940672655,0,0
circuit644.qasm,8,40,4.996003610813204e-16,0,0
circuit293.qasm,10,26,6.661338147750939e-16,0,0
circuit584.qasm,74,36,0.7499999999999999,1,1
circuit593.qasm,15,36,8.326672684688674e-16,0,0
circuit863.qasm,4,38,8.881784197001252e-16,0,0
circuit602.qasm,89,44,0.9999999999999991,1,1
circuit261.qasm,9,42,8.326672684688674e-16,0,0
circuit791.qasm,13,44,5.551115123125783e-16,0,0
circuit210.qasm,75,38,0.8535533905932731,1,1
circuit366.qasm,14,42,3.3306690738754696e-16,0,0
circuit436.qasm,77,38,0.9267766952966365,1,1
circuit000.qasm,47,29,0.32322330470336336,0,0
circuit813.qasm,79,32,0.8535533905932733,1,1
circuit604.qasm,76,34,0.8535533905932731,1,1
circuit997.qasm,68,36,0.713388347648318,1,1
circuit723.qasm,8,32,7.771561172376096e-16,0,0
circuit393.qasm,14,38,7.771561172376096e-16,0,0
circuit585.qasm,79,29,0.8535533905932732,1,1
circuit856.qasm,78,26,0.8535533905932732,1,1
circuit151.qasm,65,30,0.7499999999999996,1,1
circuit458.qasm,86,33,0.9999999999999996,1,1
circuit083.qasm,87,37,0.8535533905932733,1,1
circuit336.qasm,65,36,0.8017766952966364,1,1
circuit465.qasm,75,37,0.8535533905932733,1,1
circuit347.qasm,65,40,0.6767766952966365,1,1
circuit258.qasm,88,36,0.8901650429449548,1,1
circuit379.qasm,11,37,6.661338147750939e-16,0,0
circuit339.qasm,77,23,0.8535533905932733,1,1
circuit150.qasm,10,32,7.216449660063518e-16,0,0
circuit972.qasm,8,38,7.216449660063518e-16,0,0
circuit677.qasm,29,32,0.25000000000000056,0,0
circuit340.qasm,10,34,4.440892098500626e-16,0,0
circuit781.qasm,29,36,0.21338834764831882,0,0
circuit372.qasm,29,33,0.25000000000000033,0,0
circuit269.qasm,8,35,6.661338147750939e-16,0,0
circuit018.qasm,54,28,0.6767766952966368,1,1
circuit136.qasm,75,34,0.9267766952966363,1,1
circuit695.qasm,25,32,0.07322330470336352,0,0
circuit116.qasm,16,40,0.14644660940672666,0,0
circuit287.qasm,77,46,0.8535533905932732,1,1
circuit110.qasm,63,40,0.7499999999999996,1,1
circuit912.qasm,10,28,8.326672684688674e-16,0,0
circuit109.qasm,73,37,0.8535533905932733,1,1
circuit494.qasm,76,29,0.8535533905932733,1,1
circuit325.qasm,12,36,5.551115123125783e-16,0,0
circuit111.qasm,37,45,0.32322330470336336,0,0
circuit382.qasm,91,28,0.9999999999999993,1,1
circuit402.qasm,72,32,0.7499999999999996,1,1
circuit933.qasm,28,32,0.25000000000000067,0,0
circuit672.qasm,20,50,0.14644660940672688,0,0
circuit386.qasm,53,38,0.6767766952966368,1,1
circuit903.qasm,5,32,2.220446049250313e-16,0,0
circuit759.qasm,23,35,0.14644660940672682,0,0
circuit081.qasm,78,27,0.8535533905932733,1,1
circuit939.qasm,21,31,0.1464466094067267,0,0
