,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,89,32,0.9999999999999993,1,1
circuit842.qasm,21,40,0.14644660940672666,0,0
circuit146.qasm,9,32,6.106226635438361e-16,0,0
circuit704.qasm,29,32,0.25000000000000044,0,0
circuit984.qasm,17,35,0.14644660940672666,0,0
circuit426.qasm,71,22,0.8535533905932733,1,1
circuit190.qasm,12,28,5.551115123125783e-16,0,0
circuit871.qasm,13,27,6.661338147750939e-16,0,0
circuit188.qasm,22,37,0.1464466094067267,0,0
circuit750.qasm,5,37,2.220446049250313e-16,0,0
circuit328.qasm,83,35,0.8535533905932731,1,1
circuit275.qasm,25,32,0.2500000000000004,0,0
circuit309.qasm,30,39,0.25000000000000033,0,0
circuit513.qasm,30,36,0.2500000000000001,0,0
circuit969.qasm,9,23,2.220446049250313e-16,0,0
circuit583.qasm,71,36,0.7866116523516816,1,1
circuit483.qasm,80,29,0.8535533905932733,1,1
circuit326.qasm,78,38,0.8535533905932732,1,1
circuit319.qasm,4,36,6.106226635438361e-16,0,0
circuit278.qasm,65,27,0.6767766952966366,1,1
circuit706.qasm,15,32,7.771561172376096e-16,0,0
circuit558.qasm,79,29,0.8535533905932733,1,1
circuit358.qasm,72,40,0.8535533905932735,1,1
circuit394.qasm,8,34,2.220446049250313e-16,0,0
circuit682.qasm,92,28,0.9267766952966363,1,1
circuit035.qasm,10,33,2.220446049250313e-16,0,0
circuit503.qasm,34,32,0.2500000000000005,0,0
circuit812.qasm,20,29,0.14644660940672682,0,0
circuit934.qasm,7,25,0.02144660940672699,0,0
circuit660.qasm,10,32,7.771561172376096e-16,0,0
circuit211.qasm,82,28,0.8535533905932731,1,1
circuit540.qasm,15,29,8.326672684688674e-16,0,0
circuit359.qasm,24,32,0.14644660940672688,0,0
circuit001.qasm,74,27,0.8535533905932733,1,1
circuit115.qasm,75,29,0.8535533905932733,1,1
circuit519.qasm,57,34,0.6767766952966365,1,1
circuit978.qasm,71,40,0.7499999999999998,1,1
circuit385.qasm,75,33,0.8535533905932734,1,1
circuit782.qasm,27,34,6.661338147750939e-16,0,0
circuit822.qasm,19,34,0.14644660940672682,0,0
circuit121.qasm,60,42,0.7499999999999994,1,1
circuit091.qasm,35,25,0.3636262177912838,0,0
circuit131.qasm,89,35,0.9267766952966363,1,1
circuit062.qasm,41,23,0.375,0,0
circuit290.qasm,41,35,0.14644660940672655,0,0
circuit644.qasm,3,37,4.996003610813204e-16,0,0
circuit293.qasm,11,31,6.661338147750939e-16,0,0
circuit584.qasm,69,28,0.7499999999999999,1,1
circuit593.qasm,21,47,8.326672684688674e-16,0,0
circuit863.qasm,10,33,8.881784197001252e-16,0,0
circuit602.qasm,88,33,0.9999999999999991,1,1
circuit261.qasm,5,39,8.326672684688674e-16,0,0
circuit791.qasm,8,33,5.551115123125783e-16,0,0
circuit210.qasm,82,31,0.8535533905932731,1,1
circuit366.qasm,15,29,3.3306690738754696e-16,0,0
circuit436.qasm,82,38,0.9267766952966365,1,1
circuit000.qasm,35,40,0.32322330470336336,0,0
circuit813.qasm,82,27,0.8535533905932733,1,1
circuit604.qasm,72,32,0.8535533905932731,1,1
circuit997.qasm,70,35,0.713388347648318,1,1
circuit723.qasm,9,26,7.771561172376096e-16,0,0
circuit393.qasm,12,33,7.771561172376096e-16,0,0
circuit585.qasm,76,41,0.8535533905932732,1,1
circuit856.qasm,78,35,0.8535533905932732,1,1
circuit151.qasm,75,29,0.7499999999999996,1,1
circuit458.qasm,91,20,0.9999999999999996,1,1
circuit083.qasm,85,30,0.8535533905932733,1,1
circuit336.qasm,67,35,0.8017766952966364,1,1
circuit465.qasm,83,34,0.8535533905932733,1,1
circuit347.qasm,59,29,0.6767766952966365,1,1
circuit258.qasm,85,35,0.8901650429449548,1,1
circuit379.qasm,12,24,6.661338147750939e-16,0,0
circuit339.qasm,77,38,0.8535533905932733,1,1
circuit150.qasm,7,26,7.216449660063518e-16,0,0
circuit972.qasm,10,32,7.216449660063518e-16,0,0
circuit677.qasm,34,34,0.25000000000000056,0,0
circuit340.qasm,5,28,4.440892098500626e-16,0,0
circuit781.qasm,27,28,0.21338834764831882,0,0
circuit372.qasm,32,32,0.25000000000000033,0,0
circuit269.qasm,9,21,6.661338147750939e-16,0,0
circuit018.qasm,55,28,0.6767766952966368,1,1
circuit136.qasm,74,27,0.9267766952966363,1,1
circuit695.qasm,16,30,0.07322330470336352,0,0
circuit116.qasm,20,24,0.14644660940672666,0,0
circuit287.qasm,75,30,0.8535533905932732,1,1
circuit110.qasm,69,26,0.7499999999999996,1,1
circuit912.qasm,12,33,8.326672684688674e-16,0,0
circuit109.qasm,74,27,0.8535533905932733,1,1
circuit494.qasm,73,34,0.8535533905932733,1,1
circuit325.qasm,4,33,5.551115123125783e-16,0,0
circuit111.qasm,35,38,0.32322330470336336,0,0
circuit382.qasm,92,41,0.9999999999999993,1,1
circuit402.qasm,66,35,0.7499999999999996,1,1
circuit933.qasm,25,22,0.25000000000000067,0,0
circuit672.qasm,21,28,0.14644660940672688,0,0
circuit386.qasm,59,30,0.6767766952966368,1,1
circuit903.qasm,9,27,2.220446049250313e-16,0,0
circuit759.qasm,29,39,0.14644660940672682,0,0
circuit081.qasm,84,34,0.8535533905932733,1,1
circuit939.qasm,17,32,0.1464466094067267,0,0
