,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit121.qasm,0.3887293696318808,49.0,48.0,40.0,39.0,44.0,33.0,38.0,36.0,50.0,42.0,53.0
circuit122.qasm,0.6421280324642584,31.0,44.0,36.0,39.0,44.0,42.0,40.0,42.0,45.0,44.0,40.0
circuit123.qasm,0.6319291547163131,37.0,36.0,34.0,39.0,39.0,39.0,37.0,37.0,48.0,51.0,36.0
circuit125.qasm,0.1418701528627665,21.0,19.0,21.0,12.0,17.0,14.0,21.0,18.0,25.0,23.0,28.0
circuit127.qasm,0.3630001537256544,44.0,34.0,47.0,41.0,36.0,35.0,41.0,31.0,40.0,44.0,53.0
circuit132.qasm,0.7042354345603976,30.0,29.0,27.0,43.0,30.0,41.0,32.0,30.0,31.0,36.0,28.0
circuit133.qasm,0.9095673531442079,9.0,11.0,15.0,11.0,7.0,7.0,22.0,13.0,17.0,17.0,19.0
circuit134.qasm,0.28488952738362483,33.0,30.0,34.0,50.0,37.0,47.0,39.0,33.0,49.0,45.0,50.0
circuit135.qasm,0.3705385327198012,35.0,38.0,31.0,38.0,39.0,44.0,43.0,49.0,29.0,39.0,34.0
circuit136.qasm,0.713388347648318,24.0,40.0,25.0,31.0,18.0,35.0,32.0,36.0,32.0,32.0,32.0
circuit137.qasm,0.24463834764831893,28.0,27.0,25.0,28.0,21.0,24.0,28.0,34.0,23.0,36.0,30.0
circuit145.qasm,0.6249999999999997,43.0,40.0,37.0,41.0,46.0,34.0,37.0,41.0,46.0,43.0,40.0
circuit147.qasm,0.908470869120795,10.0,2.0,16.0,14.0,11.0,14.0,14.0,14.0,18.0,20.0,28.0
circuit148.qasm,0.20312500000000072,20.0,23.0,22.0,19.0,28.0,29.0,28.0,33.0,34.0,27.0,26.0
circuit150.qasm,0.6142766952966366,36.0,34.0,30.0,36.0,45.0,40.0,45.0,39.0,36.0,40.0,38.0
circuit151.qasm,0.9267766952966365,7.0,9.0,12.0,14.0,14.0,18.0,14.0,12.0,20.0,24.0,22.0
circuit152.qasm,0.7392766952966366,30.0,28.0,29.0,22.0,26.0,26.0,32.0,32.0,27.0,38.0,34.0
circuit154.qasm,0.6950825214724776,34.0,32.0,30.0,38.0,38.0,36.0,31.0,30.0,44.0,38.0,34.0
circuit155.qasm,0.6182099487954539,37.0,37.0,37.0,41.0,37.0,45.0,49.0,45.0,39.0,33.0,43.0
circuit161.qasm,0.658293365334277,42.0,40.0,32.0,38.0,45.0,41.0,53.0,41.0,47.0,50.0,46.0
circuit164.qasm,0.9374999999999993,7.0,4.0,6.0,8.0,14.0,9.0,8.0,10.0,11.0,21.0,21.0
circuit165.qasm,0.6169575214724774,32.0,45.0,41.0,44.0,38.0,39.0,40.0,47.0,50.0,45.0,43.0
circuit166.qasm,0.2645145654396024,28.0,20.0,24.0,26.0,33.0,28.0,29.0,32.0,29.0,34.0,32.0
circuit172.qasm,0.6691941738241587,28.0,31.0,35.0,34.0,29.0,38.0,41.0,31.0,42.0,37.0,40.0
circuit173.qasm,0.28661165235168196,28.0,26.0,29.0,32.0,38.0,40.0,35.0,31.0,42.0,36.0,40.0
circuit174.qasm,0.9267766952966361,6.0,8.0,13.0,12.0,11.0,15.0,12.0,20.0,19.0,22.0,15.0
circuit178.qasm,0.3167512177912839,35.0,33.0,33.0,30.0,40.0,41.0,31.0,32.0,45.0,28.0,39.0
circuit180.qasm,0.6127736628323779,39.0,33.0,38.0,42.0,47.0,40.0,37.0,58.0,46.0,37.0,49.0
circuit181.qasm,0.8535533905932733,18.0,17.0,14.0,14.0,18.0,26.0,15.0,20.0,30.0,26.0,29.0
circuit182.qasm,0.6066941738241588,38.0,38.0,34.0,48.0,36.0,43.0,49.0,37.0,43.0,34.0,38.0
circuit186.qasm,0.2591529130879206,25.0,32.0,34.0,27.0,24.0,27.0,29.0,34.0,25.0,35.0,38.0
circuit191.qasm,0.6874999999999998,25.0,30.0,42.0,30.0,35.0,40.0,35.0,30.0,35.0,31.0,40.0
circuit197.qasm,0.7180222988241589,28.0,34.0,31.0,27.0,40.0,43.0,34.0,45.0,33.0,37.0,47.0
